93	452	588	698	
208	382	404	494	
227	466	470	640	
136	477	229	632	
603	441	698	500	
134	546	260	698	
0	455	299	686	
244	312	603	600	
212	532	439	689	
450	312	603	498	
0	410	206	494	
0	579	48	698	
93	452	698	698	
227	500	439	640	
0	378	599	698	
0	416	39	521	
58	455	159	564	
0	479	81	600	
37	557	173	682	
217	462	473	653	
94	312	615	698	
208	378	599	640	
136	389	311	542	
93	452	585	698	
423	466	470	562	
0	433	311	698	
227	500	428	640	
37	553	197	682	
94	312	603	698	
94	312	698	698	
244	362	463	600	
129	546	261	698	
0	579	50	698	
0	182	698	464	
427	438	599	640	
136	389	243	500	
0	455	159	600	
94	389	478	698	
208	414	404	494	
17	553	197	682	
0	151	698	698	
619	381	698	438	
270	418	455	600	
248	98	363	183	
136	389	311	587	
248	98	363	182	
211	531	585	698	
129	546	260	698	
248	99	361	182	
566	159	698	205	
371	418	455	537	
131	546	260	698	
94	389	311	587	
208	378	462	592	
0	579	51	698	
217	462	470	640	
136	477	299	634	
614	381	698	438	
470	438	599	620	
388	214	480	251	
0	0	698	698	
211	414	404	494	
136	477	200	579	
0	493	81	600	
227	462	470	640	
614	381	698	446	
218	462	470	640	
424	468	470	562	
244	312	603	606	
202	378	599	640	
306	456	428	592	
579	381	698	501	
57	455	159	564	
208	556	478	698	
0	369	615	698	
531	318	596	461	
208	382	428	592	
498	466	698	698	
0	433	299	686	
15	553	197	682	
0	182	698	698	
0	182	698	452	
270	545	352	600	
217	462	473	640	
244	362	397	460	
129	476	299	686	
129	477	299	686	
134	554	260	698	
0	369	599	698	
94	312	616	698	
0	0	698	286	
244	362	455	600	
218	617	314	698	
270	508	375	600	
0	79	698	698	
0	312	698	698	
427	548	494	640	
0	0	698	280	
613	381	698	446	
