262	582	346	651	
341	58	698	670	
276	0	686	433	
177	624	276	698	
359	555	414	698	
261	582	346	651	
164	494	324	641	
0	16	388	698	
288	507	525	698	
359	565	413	698	
159	476	273	569	
126	224	388	625	
0	0	698	698	
384	501	698	698	
127	224	388	564	
127	224	388	523	
265	507	525	698	
97	534	250	698	
298	426	373	494	
118	534	247	698	
115	463	388	660	
95	534	261	698	
151	343	385	523	
164	525	324	641	
175	608	287	698	
177	610	276	698	
276	0	698	698	
126	465	276	623	
378	442	698	698	
259	582	346	651	
0	443	198	698	
150	480	373	641	
97	534	247	698	
88	0	698	445	
126	459	276	625	
164	498	324	641	
151	343	311	515	
87	16	283	160	
91	463	388	698	
156	480	368	641	
289	567	361	698	
91	422	444	698	
91	463	388	660	
87	16	388	625	
97	534	261	698	
88	0	698	242	
156	494	324	641	
127	224	385	523	
175	608	276	698	
432	568	698	698	
175	607	287	698	
115	463	373	641	
348	507	525	698	
91	463	444	698	
115	463	388	641	
88	0	698	441	
0	16	444	698	
82	16	388	625	
289	507	525	698	
87	16	283	446	
126	465	276	625	
126	140	388	625	
272	471	330	564	
276	0	698	670	
92	42	233	446	
87	16	283	162	
87	16	283	464	
88	0	698	440	
370	442	698	698	
156	480	373	641	
